sample percentage and category,% for Clinton,% for Trump,% for other/no answer
18-24: 8%,50.0,45.0,5.0
25-29: 8%,53.0,40.0,7.0
30-39: 16%,54.0,40.0,6.0
40-49: 17%,47.0,49.0,4.0
50-64: 30%,45.0,53.0,2.0
65 and older: 21%,44.0,54.0,2.0
predicted % total vote share,47.61000000000001,48.769999999999996,3.62
