sample percentage and category,% for Clinton,% for Trump,% for other/no answer
18-29: 16%,52.0,43.0,5.0
30-44: 24%,53.0,42.0,5.0
45-64: 38%,45.0,52.0,3.0
65 and older: 21%,44.0,54.0,2.0
predicted % total vote share,47.38,48.06,3.56
