sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
18-24: 10%,54.0,39.0,4.0,0.0,3.0
25-29: 8%,46.0,44.0,5.0,3.0,2.0
30-39: 16%,41.0,51.0,6.0,1.0,1.0
40-49: 17%,39.0,56.0,4.0,1.0,0.0
50-64: 29%,41.0,55.0,2.0,1.0,1.0
65 and older: 19%,43.0,56.0,0.0,1.0,0.0
predicted % total vote share,42.330000000000005,51.69,3.02,1.05,0.9100000000000001
