sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
18-44: 42%,51.0,41.0,5.0,2.0,1.0
45 and older: 58%,45.0,52.0,3.0,1.0,0.0
predicted % total vote share,47.519999999999996,47.379999999999995,3.84,1.42,0.42
