sample percentage and category,% for Clinton,% for Trump,% for other/no answer
18-24: 10%,56.0,34.0,10.0
25-29: 9%,54.0,38.0,8.0
30-39: 17%,51.0,39.0,10.0
40-49: 19%,46.0,49.0,5.0
50-64: 30%,44.0,52.0,4.0
65 and older: 16%,45.0,52.0,3.0
predicted % total vote share,48.27000000000001,46.68,6.050000000000001
