sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
18-44: 39%,52.0,40.0,6.0,2.0,0.0
45 and older: 61%,43.0,54.0,2.0,1.0,0.0
predicted % total vote share,46.510000000000005,48.54,3.5599999999999996,1.3900000000000001,0.0
