sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
18-29: 17%,47.0,44.0,6.0,2.0,1.0
30-44: 23%,55.0,37.0,5.0,2.0,1.0
45-64: 41%,41.0,56.0,2.0,1.0,0.0
65 and older: 20%,48.0,49.0,2.0,0.0,1.0
predicted % total vote share,47.050000000000004,48.75,3.3899999999999997,1.21,0.6000000000000001
