sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
white: 75%,36.0,57.0,5.0,1.0,1.0
black: 15%,92.0,6.0,0.0,1.0,1.0
latino: 5%,59.0,38.0,2.0,2.0,0.0
asian: 2%,0.0,0.0,0.0,0.0,0.0
other race: 3%,0.0,0.0,0.0,0.0,0.0
predicted % total vote share,43.75,45.55,3.85,1.0,0.9
