sample percentage and category,% for Clinton,% for Trump,% for other/no answer
urban area: 23%,71.0,24.0,5.0
suburban area: 50%,42.0,53.0,5.0
rural area: 27%,38.0,56.0,6.0
predicted % total vote share,47.59,47.14,5.2700000000000005
