sample percentage and category,% for Clinton,% for Trump,% for other/no answer
18-44: 40%,52.0,42.0,6.0
45 and older: 60%,45.0,53.0,2.0
predicted % total vote share,47.8,48.599999999999994,3.6000000000000005
