sample percentage and category,% for Clinton,% for Trump,% for other/no answer
urban area: 31%,58.0,38.0,4.0
suburban area: 59%,37.0,57.0,6.0
rural area: 9%,27.0,69.0,4.0
predicted % total vote share,42.24,51.62,5.140000000000001
