sample percentage and category,% for Clinton,% for Trump,% for other/no answer
white: 71%,37.0,57.0,6.0
black: 12%,89.0,8.0,3.0
latino: 11%,66.0,28.0,6.0
asian: 4%,65.0,27.0,8.0
other race: 3%,56.0,36.0,8.0
predicted % total vote share,48.49,46.669999999999995,5.840000000000001
