sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
18-29: 21%,57.0,34.0,6.0,2.0,1.0
30-44: 21%,44.0,48.0,4.0,2.0,2.0
45-64: 39%,44.0,52.0,4.0,1.0,0.0
65 and older: 19%,47.0,51.0,1.0,0.0,1.0
predicted % total vote share,47.300000000000004,47.19,3.85,1.23,0.8200000000000001
