sample percentage and category,% for Clinton,% for Trump,% for other/no answer
urban area: 27%,70.0,26.0,4.0
suburban area: 53%,44.0,52.0,4.0
rural area: 19%,26.0,71.0,3.0
predicted % total vote share,47.16,48.07000000000001,3.7700000000000005
