sample percentage and category,% for Clinton,% for Trump,% for other/no answer
white: 80%,33.0,62.0,5.0
black: 14%,88.0,8.0,4.0
latino: 3%,67.0,26.0,7.0
asian: 1%,0.0,0.0,0.0
other race: 2%,0.0,0.0,0.0
predicted % total vote share,40.73,51.5,4.7700000000000005
