sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
white: 75%,36.0,57.0,5.0,1.0,1.0
non-white: 25%,80.0,17.0,1.0,1.0,1.0
predicted % total vote share,47.0,47.0,4.0,1.0,1.0
