sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
18-24: 11%,58.0,35.0,4.0,2.0,1.0
25-29: 10%,55.0,33.0,9.0,2.0,1.0
30-39: 14%,45.0,46.0,4.0,3.0,2.0
40-49: 16%,43.0,51.0,4.0,1.0,1.0
50-64: 30%,44.0,52.0,3.0,1.0,0.0
65 and older: 19%,47.0,51.0,1.0,0.0,1.0
predicted % total vote share,47.19,47.04,3.63,1.3,0.8400000000000001
