sample percentage and category,% for Clinton,% for Trump,% for other/no answer
18-29: 19%,55.0,36.0,9.0
30-44: 25%,51.0,41.0,8.0
45-64: 40%,44.0,52.0,4.0
65 and older: 16%,45.0,52.0,3.0
predicted % total vote share,48.0,46.21,5.790000000000001
