sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
18-29: 18%,51.0,42.0,5.0,2.0,0.0
30-44: 24%,42.0,51.0,5.0,1.0,1.0
45-64: 39%,40.0,56.0,2.0,1.0,1.0
65 and older: 19%,43.0,56.0,0.0,1.0,0.0
predicted % total vote share,43.03,52.28,2.88,1.18,0.63
