sample percentage and category,% for Clinton,% for Trump,% for other/no answer
white: 86%,42.0,53.0,5.0
black: 7%,92.0,6.0,2.0
latino: 4%,63.0,34.0,3.0
asian: 1%,0.0,0.0,0.0
other race: 2%,0.0,0.0,0.0
predicted % total vote share,45.08,47.36,4.56
