sample percentage and category,% for Clinton,% for Trump,% for other/no answer
white: 81%,40.0,56.0,4.0
black: 10%,92.0,7.0,1.0
latino: 6%,74.0,22.0,4.0
asian: 1%,0.0,0.0,0.0
other race: 2%,0.0,0.0,0.0
predicted % total vote share,46.040000000000006,47.38,3.58
