sample percentage and category,% for Clinton,% for Trump,% for johnson,% for stein,% for other/no answer
18-24: 9%,43.0,45.0,8.0,2.0,2.0
25-29: 7%,51.0,42.0,3.0,2.0,2.0
30-39: 15%,57.0,36.0,5.0,2.0,0.0
40-49: 17%,46.0,49.0,3.0,1.0,1.0
50-64: 32%,41.0,56.0,2.0,1.0,0.0
65 and older: 20%,48.0,49.0,2.0,0.0,1.0
predicted % total vote share,46.53,48.44,3.23,1.11,0.69
